sample,fastq_1,fastq_2,barcode_details
human_AY53-1_50,human/test_data/AY53-1_50k_downsampled_human.fastq.gz,,human/barcode_details.json
human_AY53-1_100,human/test_data/AY53-1_100k_downsampled_human.fastq.gz,,human/barcode_details.json
human_AY53-8_noHops_50,human/test_data/AY53-8_50k_downsampled_human_noHops.fastq.gz,,human/barcode_details.json
human_AY53-8_noHops_100,human/test_data/AY53-8_100k_downsampled_human_noHops.fastq.gz,,human/barcode_details.json
